prefill,decode,conc,isl,osl,date,endpoint_type,label,model_id,tokenizer_id,num_prompts,request_rate,burstiness,max_concurrency,duration,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,source_file
1,3,32,128,2048,20250914-021127,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,77.21849530899999,500,63996,309968,6.475132647938607,,4014.167833232468,4842.933011107426,131.55540987600216,110.7674700001553,68.54723310431348,369.73919951959925,7.932924677464844,7.9301591817966255,0.8845784744962786,9.795794001961191,7.271009284669176,7.2198090001620585,0.8978936034258915,9.581979250042428,1p3d_conc32_in128_out2048_20250914_021003.json
1,3,32,2048,128,20250923-033904,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,11.064129636999951,500,1023101,31091,45.19108293235576,,2810.071918899746,95280.15619725197,206.46865444199648,211.54864649997762,59.668134423164105,387.9648230700104,7.871155617877691,7.8335652727281,0.8640285360380177,9.749148004004837,7.68356198309961,7.3118000000249594,2.4319876450119766,16.5558087998761,1p3d_conc32_in2048_out128_20250923_033843.json
1,3,32,2048,2048,20250914-015043,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,94.51844385599998,500,1023101,362429,5.289972830718163,,3834.4791261287064,14658.832112289874,138.07586190400434,115.5254809998496,75.40984397168998,481.0351167699673,8.065182741529455,8.029367906497916,0.9371351529401347,9.757963220003601,7.478398003705152,7.545282999672054,1.2292280954411987,10.924929400080142,1p3d_conc32_in2048_out2048_20250914_014850.json
1,3,32,2048,32784,20250914-034529,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,1635.6317910899998,500,1023101,5845893,0.3056922729942755,,3574.0886377026486,4199.596778088081,152.25432293595804,96.4377255004365,156.38068732735962,947.2150612210498,8.959386333093729,8.799233810084472,1.77391230206642,14.359364468060447,8.390460470495144,8.34804899932351,1.5938824779414071,12.707350000709994,1p3d_conc32_in2048_out32784_20250914_031550.json
1,3,32,32784,2048,20250914-023517,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,32,385.8778317460001,500,16392000,623252,1.295746888950904,,1615.1536800648578,44094.9196874313,15532.825787485986,13588.017368999772,5531.428107670753,29613.196660729944,7.14449000528527,6.861296121235572,1.435863629503194,10.394447542996202,6.755157465965581,6.284641500315047,5.065654175099715,9.915349969796807,1p3d_conc32_in32784_out2048_20250914_022742.json
1,3,64,128,2048,20250914-021002,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,51.49248145100046,500,63996,333849,9.710155461740433,,6483.451381493163,7726.273599352245,149.05191554201338,132.5660944999072,58.5366089731592,270.15254137986625,9.245131643913638,9.157545557754815,1.2715058942517783,12.085973785416089,8.25314316264334,8.271826000054716,1.176484430671696,11.68369915998484,1p3d_conc64_in128_out2048_20250914_020903.json
1,3,64,2048,128,20250923-033842,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,9.197256597999967,500,1023101,33244,54.364037218308106,,3614.5561065708694,114854.35779074735,540.8314019660065,244.2262380000102,591.4755110123024,2116.56920418008,8.814947252714315,8.882612708661089,1.122067200395503,11.158823046014957,8.53049709320797,8.319853999978477,3.026688556942108,19.18899848007868,1p3d_conc64_in2048_out128_20250923_033822.json
1,3,64,2048,2048,20250914-014850,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,53.96468762399991,500,1023101,351725,9.265318155527194,,6517.688056505604,25476.40059698166,239.4557174639831,208.7672179998208,143.6097166029556,689.7391083703496,9.264252410640491,9.086448860234048,2.0273465909768444,11.890989961973894,8.254917712808021,8.137108000028093,3.1012150992120127,12.837122519977132,1p3d_conc64_in2048_out2048_20250914_014738.json
1,3,64,2048,32784,20250914-031549,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,1033.4458835449996,500,1023101,5719738,0.4838182704689523,,5534.627493391089,6524.6174060612,714.5008959299903,126.98188949980249,1263.8929410310616,4366.535164200168,11.177505238342116,10.685887097543322,3.085112871751081,19.7014666581791,10.332731493760177,9.959056500065344,2.2956815843317466,16.146584159214395,1p3d_conc64_in2048_out32784_20250914_025612.json
1,3,64,32784,2048,20250914-022742,openai,,openai/gpt-oss-120b,openai/gpt-oss-120b,500,inf,1.0,64,380.6980288019995,500,16392000,620698,1.3133769081322175,,1630.4208402477022,44688.16939645432,37262.565724286,36675.43727749989,8691.014889740602,51348.238590709945,7.1978161972235855,6.913220363664799,2.5545047605682973,10.449971921682389,6.814482751677703,6.300672499492066,4.961390934814416,9.969277089967363,1p3d_conc64_in32784_out2048_20250914_022014.json
